"mate"	"(Moby_Dick.txt, 52)"
"teeth"	"(Moby_Dick.txt, 28), (Adventures_of_Huckleberry_Finn.txt, 5), (Hamlet.txt, 1)"
"th"	"(Hamlet.txt, 60), (Moby_Dick.txt, 2), (Adventures_of_Huckleberry_Finn.txt, 1)"
"that"	"(Moby_Dick.txt, 282), (Adventures_of_Huckleberry_Finn.txt, 277), (Hamlet.txt, 36)"
"thee"	"(Moby_Dick.txt, 86), (Hamlet.txt, 19)"
"them"	"(Moby_Dick.txt, 200), (Adventures_of_Huckleberry_Finn.txt, 155), (Hamlet.txt, 23)"
"then"	"(Moby_Dick.txt, 247), (Adventures_of_Huckleberry_Finn.txt, 89), (Hamlet.txt, 16)"
"there"	"(Moby_Dick.txt, 330), (Adventures_of_Huckleberry_Finn.txt, 203), (Hamlet.txt, 33)"
"therefore"	"(Moby_Dick.txt, 31), (Hamlet.txt, 2)"
"they"	"(Adventures_of_Huckleberry_Finn.txt, 147), (Moby_Dick.txt, 16), (Hamlet.txt, 3)"
"thing"	"(Moby_Dick.txt, 56), (Adventures_of_Huckleberry_Finn.txt, 49), (Hamlet.txt, 7)"
"things"	"(Moby_Dick.txt, 46), (Adventures_of_Huckleberry_Finn.txt, 45), (Hamlet.txt, 6)"
"think"	"(Adventures_of_Huckleberry_Finn.txt, 24), (Moby_Dick.txt, 19), (Hamlet.txt, 2)"
"this"	"(Moby_Dick.txt, 132), (Hamlet.txt, 39), (Adventures_of_Huckleberry_Finn.txt, 28)"
"thou"	"(Moby_Dick.txt, 21), (Hamlet.txt, 6)"
"though"	"(Moby_Dick.txt, 53), (Adventures_of_Huckleberry_Finn.txt, 6)"
"thought"	"(Moby_Dick.txt, 22), (Adventures_of_Huckleberry_Finn.txt, 7), (Hamlet.txt, 5)"
"time"	"(Adventures_of_Huckleberry_Finn.txt, 161), (Moby_Dick.txt, 133), (Hamlet.txt, 17)"
"times"	"(Moby_Dick.txt, 40), (Adventures_of_Huckleberry_Finn.txt, 22), (Hamlet.txt, 2)"
"to"	"(Adventures_of_Huckleberry_Finn.txt, 102), (Moby_Dick.txt, 87), (Hamlet.txt, 6)"
"together"	"(Moby_Dick.txt, 39), (Adventures_of_Huckleberry_Finn.txt, 16), (Hamlet.txt, 6)"
"tom"	"(Adventures_of_Huckleberry_Finn.txt, 68), (Moby_Dick.txt, 2)"
"too"	"(Adventures_of_Huckleberry_Finn.txt, 137), (Moby_Dick.txt, 91), (Hamlet.txt, 20)"
"top"	"(Moby_Dick.txt, 37), (Adventures_of_Huckleberry_Finn.txt, 3), (Hamlet.txt, 1)"
"town"	"(Adventures_of_Huckleberry_Finn.txt, 48), (Moby_Dick.txt, 24), (Hamlet.txt, 1)"
"trouble"	"(Adventures_of_Huckleberry_Finn.txt, 28), (Moby_Dick.txt, 6)"
"true"	"(Moby_Dick.txt, 31), (Hamlet.txt, 10), (Adventures_of_Huckleberry_Finn.txt, 5)"
"try"	"(Moby_Dick.txt, 25), (Adventures_of_Huckleberry_Finn.txt, 6), (Hamlet.txt, 1)"
"two"	"(Moby_Dick.txt, 23), (Adventures_of_Huckleberry_Finn.txt, 23), (Hamlet.txt, 2)"
"up"	"(Adventures_of_Huckleberry_Finn.txt, 152), (Moby_Dick.txt, 94), (Hamlet.txt, 1)"
